date_string,sp500,dividend,dividend,earnings,earnings,cpi,cape,real_price,long_interest_rate
1920-06-01,7.92,0.52,8.096524401913879,0.865,13.468256937799048,20.9,5.043639680451623,123.31629473684215,5.02
1920-07-01,7.91,0.5183,8.108853336538465,0.8542,13.36404113461539,20.8,5.0805929195407975,123.75271057692312,5.029999999999999
1920-08-01,7.6,0.5167,8.282930078817738,0.8433,13.518472876847296,20.3,5.020701077922858,121.83136945812811,5.039999999999999
1920-09-01,7.87,0.515,8.379513500000003,0.8325,13.545524250000005,20,5.29716277010806,128.05198300000004,5.05
1920-10-01,7.88,0.5133,8.393822080402014,0.8217,13.436983447236187,19.9,5.351177393424158,128.85898693467342,5.0600000000000005
1920-11-01,7.48,0.5117,8.40991871717172,0.8108,13.32570274747475,19.8,5.126407930947928,122.93568888888893,5.069999999999999
1920-12-01,6.81,0.51,8.554803092783509,0.8,13.419298969072173,19.4,4.784241045083251,114.23178247422686,5.079999999999999
1921-01-01,7.11,0.5058,8.662969705263162,0.7575,12.973901842105267,19,5.122184146887377,121.77484105263164,5.09
1921-02-01,7.06,0.5017,8.872946228260874,0.715,12.645319021739136,18.4,5.274857191205049,124.86147173913048,5.024166666666666
1921-03-01,6.88,0.4975,8.84674617486339,0.6725,11.958666939890714,18.3,5.19234815868418,122.34294207650277,4.958333333333333
1921-04-01,6.91,0.4933,8.868988917127075,0.63,11.32670386740332,18.1,5.297085922739678,124.23416464088402,4.8925
1921-05-01,7.12,0.4892,8.994038734463281,0.5875,10.80130367231639,17.7,5.60946922533078,130.9026079096046,4.826666666666666
1921-06-01,6.55,0.485,8.967484659090912,0.545,10.076864204545458,17.6,5.216110960989323,121.10726704545456,4.760833333333333
1921-07-01,6.53,0.4808,8.839603073446332,0.5025,9.238561864406782,17.7,5.197779361905474,120.0553412429379,4.695
1921-08-01,6.45,0.4767,8.764223762711868,0.46,8.457190960451982,17.7,5.1612948232157345,118.58452542372888,4.629166666666666
1921-09-01,6.61,0.4725,8.786286000000002,0.4175,7.763543714285717,17.5,5.377524425458262,122.91502742857148,4.5633333333333335
1921-10-01,6.7,0.4683,8.708185680000003,0.375,6.97324285714286,17.5,5.479257678053351,124.58860571428576,4.4975
1921-11-01,7.06,0.4642,8.681553770114945,0.3325,6.218476149425291,17.4,5.838196993200896,132.03741839080465,4.431666666666667
